|ReviewDate|ReviewRating|ReviewText|ReviewTitle
236|on april 6, 2016|5.0 out of 5 stars|taxes are done! easy as pie.|easy as pie
237|on april 5, 2016|5.0 out of 5 stars|always dependable...great for federal and state...been using it for years!|dependable and accurate...never a problem
238|on april 5, 2016|5.0 out of 5 stars|super easy to use program for your state and federal taxes.|five stars
239|on april 5, 2016|5.0 out of 5 stars|does the trick|the gold standard
240|on april 5, 2016|5.0 out of 5 stars|this is the only tax prep i've used in the last 27 years, and i've been very happy with it.  i admit that our taxes are easy, but i'm not willing to pay someone else for something i can do myself.|always a winner!
241|on april 5, 2016|4.0 out of 5 stars|package was broken when it arrived. cd was loose inside package. software always works great thought.|good software
242|on april 4, 2016|1.0 out of 5 stars|i purchased this product on january 26, 2016.to use in figuring and submitting my federal and state taxes for 2015 . upon receipt, i put it away since there was no need to use it immediately. i retrieved it last week to submit my taxes before the deadline. no matter what i did, the program would not load on my computer even though i had no trouble loading the same product in previous years on the same computer. i contacted amazon only to find out that the return date had expired and was not eligible for return. i do not feel i should be penalized for a defective product even if the return date has expired since this is a one time use product tied to a specific date.|be careful when you buy this product!!!
243|on april 4, 2016|4.0 out of 5 stars|i've been using turbotax for years and i still like it. it is easy to use, and its calculation is very accurate. highly recommended!|great!!!
244|on april 4, 2016|3.0 out of 5 stars|i really thought this 2015 version included e-filing the state return for the $44.99 purchase price.  last year, i purchased just the 2014 federal turbo tax deluxe for $24.99.  for $20 more, i thought it included state e-filing since there wasn't a federal only version.  now i will file the state return on the state website for free.  i wish turbo tax would refund the additional $20 charged.|i really thought this 2015 version included e-filing the state ...
245|on april 4, 2016|1.0 out of 5 stars|"i fled last year for h&r block, as i had had bad experience after bad experience with intuit and they finally made me crack. i planned to continue with h&r block this year, but from reviews it sounds as though that program is terribly buggy this year and doesn't work on recent versions of mac software.  i want software i'll be able to use on an upgraded machine in the future in case i need to refer back to something from a prior return. so reluctantly i came back to intuit despite concerns about their import function.  i hoped the bad reviews were wrong. unfortunately, they don't seem to be!  i tried to get it to import from last year's pdf - it told me the file was too big.  i made a new pdf with just the federal efile. and it ""imported"" - but that appears to mean, it imported my name and that of my kids. it didn't import even anyone's birthday. i had to fill out the complete personal info interview, and i can't see that any information has carried over from the prior year. there are no forms, no worksheets, no business info (i file both schedule c and schedule f) - none of the forms i file every year are there, so i am going to have to enter all this information - 1099s, w2s, everything-  all over.  and i think i'm going to have to check anything that involves prior year data by hand.  it's maddening.  i can spend more money to buy hr block again to have my information flowing forward, but not work with the mac software, or i can re-enter more than a decade worth of depreciation information for the ranch.  what a lovely, lovely choice.  next year i might just do the ^%$# stuff myself."|their import from h&r block is laughable
246|on april 4, 2016|5.0 out of 5 stars|easy to use, works well!|five stars
247|on april 4, 2016|5.0 out of 5 stars|i've been using tt since it first cane out.  i think the 2015 version is the best and easiest to use for my situation.  my taxes are relatively simple, and the deluxe version is all i need.|best version yet.
248|on april 4, 2016|4.0 out of 5 stars|in spite of the various problems the last couple of years, turbotax remains a relatively painless way to do basic income taxes.  if your finances are organized and relatively simple, you may be able to e-file your returns after just a couple of hours worth of work.  the intuit software isn't perfect, and there always seems to be a bit of a learning curve each tax season, but it is still straightforward if one has the patience to go through all the steps. cautiously recommended.|tax time...
249|on april 3, 2016|5.0 out of 5 stars|have been using turbo tax for many years now and am happy with the software program this year.  last year i almost decided that would be the last year i purchased turbotax after they changed the content in the 2014 deluxe product so that in order to file, i would have to purchase the more expensive turbotax premier. now that the 2015 turbotax deluxe contains the content that it use to in the past , i will continue to purchase the software.|... using turbo tax for many years now and am happy with the software program this year
250|on april 3, 2016|3.0 out of 5 stars|good tax preparing software.  my only complaint is that turbotax does not allow you to change the default folder for your tax files.  while you can save them anywhere, it insists on searching (and by default saving) your tax files to your documents folder.|overall good software
251|on april 3, 2016|1.0 out of 5 stars|"we have used turbo tax for a number of years but this year we are having nothing but problems with the software!  when we click on something (at the moment it the health insurance button) it goes into ""processing"" mode with the little circle spinning and never comes out.  well it does eventually come out, but after maybe an hour.  we left it spinning and went to the market and to look at a spa cover and when we got back it was still spinning.  we have been working on it for 3 1/2 hours!  right off the bat it required us to do an update which took about 20 minutes.  not sure why this year's software, purchased this year, would need to be updated, but okay.  it says there are errors on the return but won't let us correct them.  when we try it starts ""processing"" interminably again. very frustrating!
            

            adding to my previous review, we were very disappointed with turbo tax.  we never could get the software to work, it just kept ""processing.""  we contacted support twice and both times they promised to get back to us but never did.  after struggling with it for nearly a month (on the weekends) we downloaded forms from the irs and did our taxes ourselves.  when i tried to return the software as defective it was too late.  so it turned out to be a big waste of both time and money."|software behaving badly!
252|on april 3, 2016|3.0 out of 5 stars|this product is generally easy to use.  however, i was unpleasantly surprised that it insisted we pay $24.99 to e-file our state return.  i was quite sure from turbotax's info that the filing of your first state return was free.  i am very unhappy about this.  it seems like false advertising.|unclear info about cost of filing state return!!!
253|on april 3, 2016|5.0 out of 5 stars|easy to use and file your taxes.  i use this every year and it remembers last year information.|five stars
254|on april 3, 2016|3.0 out of 5 stars|"writing this review to help those who needed to transfer last year's tax information to turbo tax.
            

            i have a mac, and the only option is to transfer using .pdf file - essentially the print out of the fed tax form.  my turbo tax software is the ""home & business"" version.  i was unsuccessful initially with the transfer.  called tech support and didn't get much of any help, other than saying my .pdf file is corrupted, which is not true.
            

            the pdf file is really just a printout of your tax form.  if i can open it and print it, it is not corrupted.  essentially with the transfer turbo tax will attempt to read the pdf file as tax forms and process the information.  it may failed due to certain forms it does not support.  so, you can try printing minimal forms and increase the forms try to get the maximum information imported.
            

            i tried printing different forms into the pdf file, and this is what i found out:
            
            1.  import is unsuccessful if pdf file contains the complete return, including mini-worksheets and cover page.
            
            2.  import is successful if the pdf file contains only the first page of my 1040 form - a summary of my tax information.
            
            3.  import is successful if the pdf contains fedral ""entire return, including forms to submit""
            

            with #3, i was able to get my personal information and last year's agi imported.
            

            hope this is helpful and also successful for those for those frustrated new users transferring to turbo tax this year.
            

            btw: if you spent more than 15 minutes trying but failed to import, you should give up.  the transfer of information is minimal, not worth the time and frustration/stress over this.  it'll take you no more than 15 minutes to input the information anyways."|writing this review to help those who needed to transfer ...
255|on april 3, 2016|2.0 out of 5 stars|"disclaimer: i've only used it for basic income (including stocks and options) and deductions - no schedule c, property, or schedule k partnerships.
            
            allows entry via q&a, and also by direct entry via worksheets and forms (but see below)
            
            pros: does the job, accommodates download of stock transactions, provides, a bit clumsily, electronic filing capability, and
            
            intuit provides a bit better than average help via q&a and via telephone.
            
            room for improvement:
            
            if entries are made via q&a, changing entries proves a challenge. intuit does not provide a flow chart to help you identify which worksheets or forms you need to access first to make changes.
            
            it would not be at all difficult to provide a flow chart on the turbotax web site. one star off.
            
            upstream navigation would be simpler if there were some positive indication that a field or check box contains the initial entry.
            
            the magnifying glass on right click on a field indicates that the initial entry is upstream - that is helpful. the plus sign on right click indicates initial entry with possible underlying detail in a note sheet. no icon on right click may - or may not - indicate an initial entry. if it's not the intial entry, right click (always/somtimes?) brings up a menu that includes ""data source,"" and choosing that item usually clues you into an upstream entry. bit awkward. for example, on the (state) tax payment worksheet, right click on line 6 (state overpayment) brings up a note telling you the entry comes from line 6 on the (federal) tax payment worksheet, and the right click on the latter tells you that it comes from the carryover worksheet, and that's the end, with no indication as to whether the carryover worksheet is the initial source.
            
            turbotax assumes that prior year state tax overpayment is the same as amount applied to current year, and requires a manual work around if not (see federal carryover worksheet, columns (f) and (g)). i think. very confusing.
            
            electronic filing - two stars off. not at all clear whether you have enabled payment of tax due automatic withdrawal for federal and for state. you can find out - possibly - by opening ""filing instructions,"" but the information there may be inconsistent with entries you see on form 1040. for example, instructions say ""you have elected to pay your balance due . . . by direct debit using the following information . . . .,"" but form 1040 shows all xxxxxs in the routing fields.  preview for printing 1040 shows all xxxxs. suppose you choose to file electronically, with direct debit, and then find out it didn't work and you need to mail in payment. 20 mm in blood pressure and 2 stars off for that one.
            
            not at all clear which boxes you need to check to enable or disable direct debit.
            
            enough for now . . . possibly more later, if turbotax help gets back with answers to my questions."|possibly the best of a less than perfect bunch
256|on april 2, 2016|3.0 out of 5 stars|we went back to tt after years of use but like many used hrb last year due to change in tt product. we went back because of past performance and statement the .t14 file would be imported properly. it did import but only some of the information. we now need to decide whether to hand input this missing date, which will be a real challenge due to carryover calculations, or just buy hrb. if we have to do the later, we will just stick with hrb going forward as the difference in software is not that significant for the time investment to switch.|partial .t14 import only
257|on april 2, 2016|1.0 out of 5 stars|"i only gave it one star because that was the only way to post this.  i ordered this product in january (on sale) and didn't try to load it until last this week.  march 30th, 2016.  anyway i don't know if it's my computer or the software, but when i tried to return it, the site said it was no longer eligible to return. if this is the case i think they should make that ""specifically clear"" when it is purchased. feel i just gave amazon/turbotax money.....and to top it off i had to buy another downloadable since my other computer does not have a cd drive only to find out that you have to contact turbotax customer service to obtain the activation key.  for the most part i have been satisfied with amazon, but perhaps this is one product they should skip....just sayin!"|be wary of buying turbotax from amazon.com
258|on april 2, 2016|5.0 out of 5 stars|great product.  i have used for years|five stars
259|on april 2, 2016|5.0 out of 5 stars|great price!|five stars
260|on april 2, 2016|1.0 out of 5 stars|"beware!!! i bought turbo tax to do my daughters return.  i am an educated person, so i figured this shouldn't be a big deal to use.  boy, was i wrong.
            
            first of all, it only allows you to file 1 state return.  my daughter worked a summer job in mi which has reciprocity with il.  (i now know all about that, but i didn't last summer)  the software tells you that you don't need to file a return because of the reciprocity.  i understand that, but because mi state tax was withheld i need to file a nonresident return to mi to get her money back.  there is the biggest issue i had, that took hours to solve, was getting all the money back paid to mi.  i had a cpa friend review the return and he kept assuring me it was wrong.  i googled for help and all i could find was people having the same issue.  finally in the software i searched the right word combo to see what was wrong.  do not file a non resident tax return without searching in the software how to file a non resident return.  there is wording in the software which will make you lose out on money you are due back.  next issue.
            

            the software wants to charge you $44.95 to file your second state tax form.  i opted to go online and file my own tax return for free in 10 min.  it is straight forward.  i would have spent less time and energy filling out the forms myself rather than trying to figure out how to get the software to work correctly.
            

            as a first time user, i found this to be a huge disappointment.  i can only imagine how many people are losing out on money they are truly due back to them.  with the cost of the software and the extra dollars i almost lost out on, i could have hired someone to do the taxes.
            

            funny thing was, my cpa friend tried to get the software to do the tax return correctly and he couldn't either."|non resident tax filers, beware!!!!
261|on april 1, 2016|4.0 out of 5 stars|helped us get the tax job done. exactly what they said would come, came.|don't do your taxes without thai
262|on april 1, 2016|1.0 out of 5 stars|i did not do my taxes within the amount of time.  i could not download because i did not have windows 10 and couldn't download it.  so for me this is worthless.  however, i have used turbo tax in the past and loved it.|i have used turbo tax in the past and loved it.
263|on april 1, 2016|1.0 out of 5 stars|"i have used turbo tax for years without issues, but with this year's i am unable to e-file from my windows 10 computer.  i have tried multiple times over the past month with no success and keep getting the message ""your transmission didn't go through  your internet connection may have been disconnected at the time you transmitted.""  my internet is working fine.  microsoft edge has issues, but i have google chrome as my default and it is working.  i do not want to waste paper and postage and time with snail mailing the return."|""" my internet is working fine. microsoft edge has issues"
264|on march 31, 2016|5.0 out of 5 stars|used since 1986. best on the market|best on the
265|on march 31, 2016|5.0 out of 5 stars|i've used turbo tax for years.  the deluxe is my favorite. i've used the home and business one last year because of turbo taxes change, but since they changed back the deluxe works for me and my wife's home daycare.  investments are easy as they download right to turbo tax if you have your user id and password.  works and i'll buy again next year.|the deluxe is my favorite. i've used the home and business one last ...
266|on march 31, 2016|5.0 out of 5 stars|i have used turbo tax for the 3rd time and it's easy and convienent. it gets my investment account info for me directly on line.. i get my refund within a week.|... used turbo tax for the 3rd time and it's easy and convienent
267|on march 31, 2016|5.0 out of 5 stars|worked well as usual|five stars
268|on march 31, 2016|5.0 out of 5 stars|i have used turbotax for years to do our taxes.  now that both my husband and myself are retired, it has become somewhat simpler to do our taxes, but i still need to be able to look up stuff about my husband's retirement funds.  i wouldn't use anything other that this program, but i sincerely hope they don't keep increasing the cost to the point that i am unable to buy it anymore.|it makes doing your taxes easier and eliminates the worry about errors.
269|on march 31, 2016|5.0 out of 5 stars|makes doing taxes easy!|easy way to do taxes
270|on march 31, 2016|5.0 out of 5 stars|thank you|five stars
271|on march 30, 2016|3.0 out of 5 stars|"read other reviews and avoided download problems. federal return worked perfectly, and i especially enjoyed automatic download from my brokerage firm.  in fact, that's why i purchased turbotax this year, because that info is fairly complex. e-filed and was done. but i spent more time on arkansas state return than federal. online version does not allow editing the state forms directly. due to madden-weiss case which affects the taxable portion of my state retirement, i needed to use different figures for taxable income on state return than for federal. i could not change them without changing federal info. and i marked one checkbox wrong in the state interview, not realizing it until the end.  i could never get back to that interview page to change checkbox.  i ended up filling in a complete ""new"" return to enter the numbers i needed for state return and to correctly mark the checkbox. i just printed the wrong federal return so that it would not be transmitted, then printed and mailed state return."|and i especially enjoyed automatic download from my brokerage firm
272|on march 30, 2016|3.0 out of 5 stars|i used to buy this product when it was owned by parsons technology.  in those days, the price was fair.  now intuit screws your eye out.  it does the job, but the price is outrageous in my opinion.|i used to buy this product when it was owned ...
273|on march 30, 2016|5.0 out of 5 stars|did the job|five stars
274|on march 30, 2016|5.0 out of 5 stars|worked out great, as usual.|five stars
275|on march 30, 2016|1.0 out of 5 stars|"works great. it is getting more expensive every year to use.
            
            no support. online records are worthless. update 4/17/2016"|one star
276|on march 30, 2016|5.0 out of 5 stars|great tax plan every year|easy
277|on march 30, 2016|4.0 out of 5 stars|excellent product. year after year.|four stars
278|on march 30, 2016|5.0 out of 5 stars|clean package, installed fine, now it's finding me with a positive return.|buy it!
279|on march 30, 2016|2.0 out of 5 stars|turbotax charged me $45.00 to prepare my state return and another $25 to efile it. i'll never use it again. i am also dumping quicken.|beware!!!
280|on march 30, 2016|5.0 out of 5 stars|"a necessary evil of filing taxes :-)
            
            a great option."|a great option.
281|on march 30, 2016|5.0 out of 5 stars|good|five stars
282|on march 30, 2016|5.0 out of 5 stars|found things i would not have found on my own. allowed me to focus. we even were able to maneuver through the sale of land and a capital loss of an inheritance.|great tool for doing taxes myself
283|on march 29, 2016|5.0 out of 5 stars|"should be 4 1/2 stars. after doing the federal return, it is very hard to transition over to the state one.
            
            it wants to have one send the return electronically for an extra fee. it was hard to simply reject that application.
            
            stop it....let me do what i want."|great basic product.
284|on march 29, 2016|5.0 out of 5 stars|made tax peparation a lot easier|five stars
285|on march 29, 2016|5.0 out of 5 stars|:)|five stars
286|on march 29, 2016|3.0 out of 5 stars|delivery was fantastic.  just started my taxes and not sure i would buy turbo tax again.  it seems for the price ...the product would be easier to use.|delivery was fantastic. just started my taxes and not sure i ...
287|on march 29, 2016|5.0 out of 5 stars|good product|five stars
288|on march 29, 2016|5.0 out of 5 stars|perfect, no problem with the software|five stars
289|on march 29, 2016|5.0 out of 5 stars|if the business forms are included this year that  were left out last year excellent.|... included this year that were left out last year excellent.
290|on march 29, 2016|5.0 out of 5 stars|turbotax is the industry leader for a reason.  the program is easy to install and use.  it updates itself every time you open it which is important since the irs changes the tax rules and issues new forms as late as mid-march.  the program will walk you through every possibility that could apply to you or, if you're a more experienced tax preparer it gives you the option of going straight to the forms you need and skips the rest.  if you have questions, it does a pretty good job of giving you context sensitive help as well as access to appropriate sections of the tax publications.  preparation time varies.  if you have all of your supporting documents summarized and expenses totaled it will take a couple of hours to enter everything, check it, and file it.  i've used turbotax and taxcut over the years and find turbotax to be a little more clear in its presentation.|turbotax is worth the money.
291|on march 29, 2016|5.0 out of 5 stars|i have been using turbo tax since the 1980s.  i will not use any other tax preparation software!|best tax prep software on the market
292|on march 29, 2016|5.0 out of 5 stars|good product.|five stars
293|on march 29, 2016|1.0 out of 5 stars|"purchased this in jan  when it was offered at special price, but didn't open and try and download it until 50 days later. i noticed cd was thinner than normal tt cd's which i have used for 10 yrs or more. i inserted in my macpro and it kept ejecting it, wouldn't load or even recognize. put it back in case and then decided to try one more time. this time it broke coming out of spoke holder.
            
            bought identical product at office max and it started right up, no prob.
            
            amazon says no refund no way, regardless that it was defective from the get go. won't stand behind their product, claiming i am 52 days past return period. amazon, shame on you. office max told me if i had a problem they would refund without question. suppose this special price was a cheap chinese knockoff. never again amazon. you disappoint me completely."|amazon won't stand behind defective product - shameful
294|on march 29, 2016|2.0 out of 5 stars|charge for state mailing is not fair|state file should be included in pr
295|on march 29, 2016|5.0 out of 5 stars|great product and saved me $600 from not using a tax preparer.|five stars
296|on march 29, 2016|5.0 out of 5 stars|a great product at a great price. i have used it for many years with great success.|five stars
297|on march 29, 2016|5.0 out of 5 stars|great tax program - have used it for years|five stars
298|on march 29, 2016|5.0 out of 5 stars|inexpensive compared to almost any accountant or tax prep. service.  i was doing most of the work anyway, and turbotax lets me play with the taxes and see what's owed as i make the changes -- so i can see if it's better to trade off expenses for credits and things like that.  not only save on taxes, but i'm saving hundreds or thousands alone by doing them myself. also saves on paperwork by importing most 1099 and such info. directly from the sources (so you don't have to contend with numeric typos, etc.)|tax prep that works for me
299|on march 28, 2016|1.0 out of 5 stars|"so i purchased two of these products, so i can use one on myself and another for a family member.
            

            there is difficulty downloading the other cd.  and it imports information you don't want it to import.  so though the family member had nothing to do with the state that i was working at, it still imported, then the product thought it error that no income was attributed to a state that the taxpayer had nothing to do with.
            

            the help site is worse than useless.  first you have to register, and then it does not recognize your question.  forget about calling.  no numbers are listed.  i loathe the arrogance and presumption of this product.  it's not even good.
            

            really it is an ordeal.  doing taxes is bad, but this product aggravates the wound.
            

            i've spent more than an hour just trying to get it to work.  just print out the flawed return will you?  i need to move on."|state return does not work at all!
300|on march 28, 2016|5.0 out of 5 stars|been using tt for years and i wouldn't use any thing else.|i hat taxes.
301|on march 28, 2016|1.0 out of 5 stars|i went to h & r block last year due to prices. hated it. got this package which i had to upgrade because it will let you record farm rent income but not expense it. i never did get the income recorded in the proper section because i could never reach the record i entered first time. awful time getting through it. never had this much problem before. on plus side certain expenses came up i had never seen before but the savings was very minimal compared to the difficulties. finally convinced the bottom line is good and just filing. next year hmmmm. not so sure ...may just have to walk into my local block office.|hated it. got this package which i had to ...
302|on march 28, 2016|5.0 out of 5 stars|excellent software easy to use i have used this software every year for last ten years|great software
303|on march 28, 2016|5.0 out of 5 stars|worked great.  i haven't used it in years as my last version did not work, and i couldn't find any help.  this one had all kinds of help available!|worked great. i haven't used it in years as my ...
304|on march 28, 2016|4.0 out of 5 stars|easy to use, but i am not sure switching from h&r block software was worth the price difference.|four stars
305|on march 28, 2016|3.0 out of 5 stars|not the best. i actually went to an aarp help center because turbotax couldn't answer my question about taxable benefits.|not the greatest.
306|on march 28, 2016|5.0 out of 5 stars|tax time|five stars
307|on march 28, 2016|5.0 out of 5 stars|a+|five stars
308|on march 28, 2016|5.0 out of 5 stars|very impressed with this software. first time doing my own taxes and it was a breeze with this. this is the best brand!|so happy with my purchase.
309|on march 28, 2016|4.0 out of 5 stars|couldn't do my taxes without it.|four stars
310|on march 28, 2016|2.0 out of 5 stars|"i have used tt deluxe and knew about the changes in forms. what bothers me is interminable ""calculating"" pop-ups. the tt website only recommends a force quit. i made it all the way past income to deductions before the error started. after a save and force quit sometimes my work would be there other times the last few entries would disappear. theoretically their is a patch in the works, but that doesn't help me today and it does not give me confidence in the product or my return."|buggy software
311|on march 28, 2016|5.0 out of 5 stars|buy it every year|five stars
312|on march 28, 2016|5.0 out of 5 stars|i have used  turbotax for many years and plan to continue..thank you..craig|i have used turbotax for many years and plan to ...
313|on march 27, 2016|5.0 out of 5 stars|"we have used this software for more years than i care to count and it never disappoints. the ""interview"" process is very thorough and there are great ""support"" indications for possible additional deductions. the itsdeductible® function is a real life saver for us because we donate lots of items to local charity and even the big ones (goodwill & salvation army) do not provide a value - itsdeductible® offers suggested values based upon conditiion making the process seamless."|more than 15 years using turbotax and our refunds are always great!
314|on march 27, 2016|5.0 out of 5 stars|i am glad i came back|five stars
315|on march 27, 2016|3.0 out of 5 stars|cost to efile is a rip off|three stars
316|on march 27, 2016|1.0 out of 5 stars|warning - state is not included.  state preparation is included but filing is an additional $25.  the description is very deceiving and makes you think that state is free.  online it is very clear that state is additional but no where on this page does it say that state is additional.  i have been using turbotax for 5 years but i think it is time to look at other tax preparation software in the future.|deceiving
317|on march 27, 2016|5.0 out of 5 stars|i've used this item for many years, except for last year.  i prefer to use turbo tax.  this year, 2015, i got it for a good price.  i am glad that they corrected to problem.  it is much easier to use the other brands.|i got it for a good price. i am glad that they corrected to ...
318|on march 26, 2016|3.0 out of 5 stars|"mac version has known error scheduled to be fixed march 29th, 2016:  ""turbotax desktop for mac gets stuck in a 'calculation' loop. we are aware of this experience and will be resolving this issue in a product update currently scheduled for march 29th 2016.""
            

            windows version ran ok.
            

            both were desktop versions downloaded on amazon.
            

            this workaround they posted worked, but had to be used more than once:
            
            workaround and resolution
            
            if you are experiencing this issue please complete the following steps:
            
            1. click file in the menu at the top left corner of the screen
            
            2. select save to save your return
            
            3. click on the apple icon in the menu bar at the top left corner of the screen
            
            4. select force quit
            
            5. find turbotax and select force quit
            
            6. re-launch turbotax
            
            this loop does not prevent customers from completing their returns. if you keep experiencing this loop please repeat steps 1-6 till you finish your return."|"mac version ""calculation loop"" bug; windows ok"
319|on march 26, 2016|4.0 out of 5 stars|"we've used this product for years and it works great.  the only complaint i have is that it used to walk you through the steps better, and now you have to have a bit more knowledge of your own.  there are some sections that have literally no explanation which can be frustrating.
            

            overall though we haven't had any problems.  we've been audited three times, and twice there was no change while another time we got a small refund."|great software, could use more explanation
320|on march 26, 2016|5.0 out of 5 stars|excellent|five stars
321|on march 26, 2016|5.0 out of 5 stars|does the job.|five stars
322|on march 26, 2016|3.0 out of 5 stars|there was considerable aggravation when updates would pop up miscellaneously mid program!|the program is o.k. though.
323|on march 26, 2016|5.0 out of 5 stars|i use turbotax every year.  their step by step prompts help to make sure you do not miss inputting any important information and helps to maximize your deductions. when you are finished, they check to make sure that there are no obvious mistakes.  i love that it is all one stop.  you can save your return to your computer, print, and file your federal and state all using the same program. the deluxe version came with one state return too. i do not miss the days of filing in taxes using pen and paper.|i love that it is all one stop
324|on march 26, 2016|4.0 out of 5 stars|feel it is little too expensive for my needs.  i'd rather purchase a program that has my federal and state e-filing the initial price. will either change programs or do manually next year.  ours is now simple except for stock transactions.  was easy to use.|turbo tax
325|on march 26, 2016|5.0 out of 5 stars|works good as i expected.|good program
326|on march 26, 2016|1.0 out of 5 stars|"do not purchase this product!  the first thing the program wanted me to do was update the current software, due to problems with the original software.  upon trying this, i received a ""try again later"" which was still flashing four days later.  in an attempt to circumvent this tie-up, i continued without update. my federal form worked great. but when i got to sate forms i was told to push continue for the final deduction.  that calculation is still calculating after two hours and i was unable to do any other steps because the ""calculation download"" freezes you on that page.
            
            i would have been fine with this except when i called turbo's help center the phone number they gave was ""no longer in operation"". i did read other user's comments and they reported that either no one answered or  returned their calls  (which are supposed to be answered in five minutes)  two users of turbo hung up after being put on hold for an hour or more.  thankfully amazon is super with their return policies and i know i'll get my money back.  unfortunately i won't get back the hours i wasted on this inferior product."|my federal form worked great. but when i got to sate forms i ...
327|on march 26, 2016|1.0 out of 5 stars|"very disappointing. i am a longtime user of turbotax cd but i was forced to give up and go to the equally disappointing but at least not inaccurate internet version.  using a mac with the deluxe version i found that (horror #1) the program was continually inserting out of date 8949 form data (ie data from previous years which presumably were on my laptop) into this year's program (presumably they did not have some sort of date check on them). this means your schedule d will have numerous duplicates of capital asset transactions (ie share and fund sales) which in fact happened several years ago.  interestingly this shows up when you print the return but is not obvious on the screen.  so you try to delete them and then find, (horror #2) that you cannot delete these files (sort of like the undead continually re-rising from the grave). neither the quick key delete command nor the menu command work (this problem is already on the website but seems to be ignored by intuit).  so this means your return is fundamentally and arithmetically incorrect. so you then think, ah but vanguard used to give a deal on using turbotax on the web. you go there and confront (horror #3)  the web version. this spends an awful lot of time trying to sell you audit protection, version upgrade, credit cards etc and even after you stagger through this labyrinth of doom you find (1) they have charged you a premium fee which you would not have needed if their deluxe had actually worked (2) the final form is not further correctable or editable by you after you have run screaming through the last dungeon door!
            
            so what is to be done. (1) if intuit / turbotax actually wants to have customers who have not had nervous breakdowns it should go back to producing sensible user friendly products in cd form which work and tell their web staff to not continually think everyone buying a product wants to upgrade to a credit card plus lawyer as well  (2) look at whether an alternative firm could do better"|"if you like little shop of horrors, jekyll and hyde & the cavern of tax doom you will love this ""improved"" turbotax"
328|on march 26, 2016|1.0 out of 5 stars|should have installed this when it first came. now unable to return as it has been too long.|won't install and unable to return
329|on march 26, 2016|1.0 out of 5 stars|arrived damaged|one star
330|on march 26, 2016|1.0 out of 5 stars|"the old saying ""fool me once"" applies here. the deluxe cd cover states right on the front ""state returns"" and with an s on the end that means more than one state to an honest person but not to turbotax obviously. only when you look at the fine print on the back do you see that it only covers one state and even that state is now $19.99. somehow deluxe means very little. we are not talking about e filing we are talking about the simple preparation of a 2 state return and it will not allow me to do that.  i always mail it in myself and that way have a record of it rather than rely on a third party to do it.
            
            they have gotten too big to care about anything but cutting the customers throat and are under the belief that no one can do anything about it.  after all these years its good bye to these con artists.
            
            update. this review is for the turbotax deluxe cd that clearly states on the cover ""state returns"" in plural, then they renig after getting your money. i see they have commented in a series of half truths or less."|the last straw after many years of turbotax
331|on march 26, 2016|5.0 out of 5 stars|great product.  easy to use. will buy next year.|taxes
332|on march 26, 2016|1.0 out of 5 stars|it was easy to start.  at the end, though i found that my ira's and pensions were combined on one line and incorrectly calculated.  in the end, my tax was therefore incorrectly calculated.  i manually calculated my tax and got $300 more in returns.  also, the program would not print off my tax forms. i have done my taxes manually for over 40 years.  i will do them manually from now on.|it was easy to start
333|on march 26, 2016|1.0 out of 5 stars|save your money and do not buy this software. i have been using turbotax for a few years now and really liked using it. but this year, on top of the money your spending for the software, i was charged an additional $60 to file my taxes. these fees are just ridiculous and new buyers will have no idea of these fees. the company needs to be more upfront about these additional fees. last year if i remember correctly, they charged $20 or $30 to file. now this year they added another $35 refund processing fee. are you kidding me? like i said, save your money and go to h&r block, which is what i used before i started using turbotax.|turbotax adds additional fees on top of the price of the software-do not buy this software!
334|on march 26, 2016|2.0 out of 5 stars|didn't cover enough with purchase and selling of homes|two stars
335|on march 26, 2016|5.0 out of 5 stars|"unless you are familiar with the federal income tax law (800+ pages), turbo tax is a must. i am a retired cpa and find this software excellent for both ordinary filers and useful for accountants.
            
            for ordinary filers, the guided system is very helpful. for accountants, the ""enter myself"" function works best. for both, having the correct forms readily available and filled in by the software is a huge timesaver."|necessary for all long form 1040 filers.
336|on march 25, 2016|5.0 out of 5 stars|as usual easy to use|five stars
337|on march 25, 2016|5.0 out of 5 stars|for a number of years my wife and i went to a cpa to do our taxes.  this year i used turbotax and compared it to prior years with the same results.  i would recommend this to anyone doing their taxes.  it is easy to use and the program guides you through all aspects of doing your taxes.|i would recommend this to anyone doing their taxes
338|on march 25, 2016|5.0 out of 5 stars|"easy to use. step by step walk through. only program i use every year.
            
            save yourone on h&r block. this is the program they use. much cheaper as well."|best tax program
339|on march 25, 2016|5.0 out of 5 stars|great, ez to use.  get this every year.|five stars
340|on march 25, 2016|5.0 out of 5 stars|i needed to order another copy to get another state software to prepare my deceased brother's taxes sonce he lived in another state other than mine.  the software was excellent and made my task of filing his returns very easy.|turbo tax additional state order
341|on march 25, 2016|5.0 out of 5 stars|good product|five stars
342|on march 25, 2016|5.0 out of 5 stars|excellent product|excellent product
343|on march 25, 2016|4.0 out of 5 stars|for me, this year did allright.  intuit may be back on the track after the fiasco last year.  clearly, 2014 was a debacle, and their image suffered a severe tarnishing.  note to intuit:  i caution you.... you darn well better watch your pricing practices, too.  there are a lot of people who are standing ready to abandon ship if you guys return to the obnoxious fold.  count me as one.|you darn well betterwatch your pricing practices
344|on march 24, 2016|1.0 out of 5 stars|won't finish.  keeps attempting to update and failing.  absolute junk.  throwing it away and downloading h&r block.|annoying and useless
